PAYMENT_TIER,COUNTA of CUST_ID,AVERAGE of BALANCE_CAPPED,AVERAGE of CASH_ADVANCE_CAPPED,AVERAGE of MIN_PAYMENTS_CAPPED,AVERAGE of PAYMENTS_CAPPED,AVERAGE of ONEOFF_PURCHASES,AVERAGE of CREDIT_LIMIT,AVERAGE of INSTALLMENTS_PURCHASES
A - Always Full,488,189.1958909,85.44471249,173.1038315,2177.059857,1178.547643,5175.252732,787.9701844
B - Mostly Full,788,191.1432734,223.1951885,213.4101437,1955.459162,979.6927919,4769.834449,746.4635025
C - Partial,1771,878.9964521,1140.830276,485.103268,2571.521175,693.3221344,4325.964045,482.860463
D - Never Full,5903,2031.629864,1039.896231,944.7379616,1288.301072,462.0995934,4451.701326,313.5976368
Grand Total,8950,1541.046067,935.9209722,747.323792,1649.420364,592.5035725,4494.282473,411.0676447
,,,,,,,,
,,,,,,,,
,,,,,,,,
TENURE_BAND,COUNTA of CUST_ID,AVERAGE of BALANCE_FREQUENCY,AVERAGE of CASH_ADVANCE_CAPPED,AVERAGE of MIN_PAYMENTS_CAPPED,AVERAGE of PAYMENTS_CAPPED,AVERAGE of ONEOFF_PURCHASES,AVERAGE of CREDIT_LIMIT,AVERAGE of INSTALLMENTS_PURCHASES
Full-Term (12 months),7584,0.8889648187,864.4920186,786.2780853,1759.769945,640.574998,4693.331329,448.0103639
Mid-Term (9-11 months),776,0.8272545387,1329.651074,640.8711174,1264.381463,366.179317,3796.885739,230.4989562
Short-Term (<=8 months),590,0.7927360797,1336.230506,386.6083932,737.3847127,272.3374746,2852.915254,173.6908983
Grand Total,8950,0.8772707256,935.9209722,747.323792,1649.420364,592.5035725,4494.282473,411.0676447
,,,,,,,,
,,,,,,,,
PURCHASE_SEGMENT,COUNTA of CUST_ID,AVERAGE of BALANCE_FREQUENCY,AVERAGE of PURCHASES_FREQUENCY,AVERAGE of ONEOFF_PURCHASES_FREQUENCY,AVERAGE of PURCHASES_INSTALLMENTS_FREQUENCY,AVERAGE of CASH_ADVANCE_FREQUENCY,,
Hybrid (Both),2788,0.9451516141,0.7981961686,0.4344297726,0.6387665864,0.1066025039,,
Installments-Only,2246,0.8225182947,0.6954409742,0,0.6590603878,0.05354367676,,
Non-Purchaser,2044,0.8824999628,0.0001630787671,0,0.0002853879648,0.2725904946,,
One-Off Only,1872,0.8361561325,0.3210324407,0.3209434092,0,0.1254800978,,
Grand Total,8950,0.8772707256,0.4903505484,0.2024576836,0.3644373416,0.1351442003,,
,,,,,,,,
PAYMENT_TIER,COUNTA of CUST_ID,,,,,,,
A - Always Full,488,,,,,,,
B - Mostly Full,788,,,,,,,
C - Partial,1771,,,,,,,
D - Never Full,5903,,,,,,,
Grand Total,8950,,,,,,,
,,,,,,,,
,,,,,,,,
TENURE_BAND,COUNTA of CUST_ID,,,,,,,
Full-Term (12 months),7584,,,,,,,
Mid-Term (9-11 months),776,,,,,,,
Short-Term (<=8 months),590,,,,,,,
Grand Total,8950,,,,,,,
,,,,,,,,
,,,,,,,,
PAYMENT_TIER,AVERAGE of BALANCE_CAPPED,AVERAGE of PAYMENTS_CAPPED,AVERAGE of MINIMUM_PAYMENTS,,,,,
A - Always Full,189.1958909,2177.059857,173.1038315,,,,,
B - Mostly Full,191.1432734,1955.459162,217.5054541,,,,,
C - Partial,878.9964521,2571.521175,494.2845464,,,,,
D - Never Full,2031.629864,1288.301072,1089.389914,,,,,
Grand Total,1541.046067,1649.420364,844.9067666,,,,,
,,,,,,,,
PURCHASE_SEGMENT,COUNTA of CUST_ID,,,,,,,
Hybrid (Both),2788,,,,,,,
Installments-Only,2246,,,,,,,
Non-Purchaser,2044,,,,,,,
One-Off Only,1872,,,,,,,
Grand Total,8950,,,,,,,
,,,,,,,,
PURCHASE_SEGMENT,AVERAGE of BALANCE_FREQUENCY,AVERAGE of PURCHASES_FREQUENCY,AVERAGE of ONEOFF_PURCHASES_FREQUENCY,AVERAGE of PURCHASES_INSTALLMENTS_FREQUENCY,AVERAGE of CASH_ADVANCE_FREQUENCY,,,
Hybrid (Both),0.9451516141,0.7981961686,0.4344297726,0.6387665864,0.1066025039,,,
Installments-Only,0.8225182947,0.6954409742,0,0.6590603878,0.05354367676,,,
Non-Purchaser,0.8824999628,0.0001630787671,0,0.0002853879648,0.2725904946,,,
One-Off Only,0.8361561325,0.3210324407,0.3209434092,0,0.1254800978,,,
Grand Total,0.8772707256,0.4903505484,0.2024576836,0.3644373416,0.1351442003,,,
,,,,,,,,
TENURE_BAND,AVERAGE of BALANCE_CAPPED,AVERAGE of CASH_ADVANCE_CAPPED,AVERAGE of MIN_PAYMENTS_CAPPED,AVERAGE of PAYMENTS_CAPPED,AVERAGE of ONEOFF_PURCHASES,AVERAGE of CREDIT_LIMIT,AVERAGE of INSTALLMENTS_PURCHASES,
Full-Term (12 months),1593.556786,864.4920186,786.2780853,1759.769945,640.574998,4693.331329,448.0103639,
Mid-Term (9-11 months),1388.717404,1329.651074,640.8711174,1264.381463,366.179317,3796.885739,230.4989562,
Short-Term (<=8 months),1066.411736,1336.230506,386.6083932,737.3847127,272.3374746,2852.915254,173.6908983,
Grand Total,1541.046067,935.9209722,747.323792,1649.420364,592.5035725,4494.282473,411.0676447,
