CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,BALANCE_CAPPED,CASH_ADVANCE_CAPPED,MIN_PAYMENTS_CAPPED,PAYMENTS_CAPPED,ZERO_PURCHASE_FLAG,CASH_ADV_USER_FLAG,TENURE_BAND,PAYMENT_TIER,PURCHASE_SEGMENT
C10001,40.900749,0.818182,95.4,0,95.4,0,0.166667,0,0.083333,0,0,2,1000,201.802084,139.509787,0,12,40.900749,0,139.509787,201.802084,0,0,Full-Term (12 months),D - Never Full,Installments-Only
C10002,3202.467416,0.909091,0,0,0,6442.945483,0,0,0,0.25,4,0,7000,4103.032597,1072.340217,0.222222,12,3202.467416,6442.945483,1072.340217,4103.032597,1,1,Full-Term (12 months),C - Partial,Non-Purchaser
C10003,2495.148862,1,773.17,773.17,0,0,1,1,0,0,0,12,7500,622.066742,627.284787,0,12,2495.148862,0,627.284787,622.066742,0,0,Full-Term (12 months),D - Never Full,One-Off Only
C10004,1666.670542,0.636364,1499,1499,0,205.788017,0.083333,0.083333,0,0.083333,1,1,7500,0,312.343947,0,12,1666.670542,205.788017,312.343947,0,0,1,Full-Term (12 months),D - Never Full,One-Off Only
C10005,817.714335,1,16,16,0,0,0.083333,0.083333,0,0,0,1,1200,678.334763,244.791237,0,12,817.714335,0,244.791237,678.334763,0,0,Full-Term (12 months),D - Never Full,One-Off Only
C10006,1809.828751,1,1333.28,0,1333.28,0,0.666667,0,0.583333,0,0,8,1800,1400.05777,2407.246035,0,12,1809.828751,0,2407.246035,1400.05777,0,0,Full-Term (12 months),D - Never Full,Installments-Only
C10007,627.260806,1,7091.01,6402.63,688.38,0,1,1,1,0,0,64,13500,6354.314328,198.065894,1,12,627.260806,0,198.065894,6354.314328,0,0,Full-Term (12 months),A - Always Full,Hybrid (Both)
C10008,1823.652743,1,436.2,f,436.2,0,1,0,1,0,0,12,2300,679.065082,532.03399,0,12,1823.652743,0,532.03399,679.065082,0,0,Full-Term (12 months),D - Never Full,Installments-Only
C10009,1014.926473,1,861.49,661.49,200,0,0.333333,0.083333,0.25,0,0,5,7000,688.278568,311.963409,0,12,1014.926473,0,311.963409,688.278568,0,0,Full-Term (12 months),D - Never Full,Hybrid (Both)
C10010,152.225975,0.545455,1281.6,1281.6,0,0,0.166667,0.166667,0,0,0,3,11000,1164.770591,100.302262,0,12,152.225975,0,100.302262,1164.770591,0,0,Full-Term (12 months),D - Never Full,One-Off Only
